task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Client Meeting,High,Tech Lead,Java,Critical,9,5,3,18,8,10,True,1,False,4.8,1,1,2,1,3.20383046
Deployment,Low,Tech Lead,Java,Low,3,3,1,6,2,11,False,0,False,3.25,0,3,0,0,1.2684375
Documentation,Medium,Tech Lead,JavaScript,Low,4,4,2,8,5,14,False,2,True,1.5,4,0,0,0,2.604525
Code Review,Medium,Senior,Python,High,8,5,1,16,5,15,True,0,False,2.55,2,3,0,0,3.07869188
Testing,Low,Junior,Other,Critical,5,5,2,10,4,14,True,2,False,1.85,4,1,0,0,2.06814563
Feature Dev,Medium,Senior,Java,Medium,1,4,0,2,8,15,True,0,False,3.0625,3,0,0,1,0.5
Refactoring,Medium,Junior,JavaScript,Critical,10,5,1,20,7,9,False,2,False,2.35,4,0,1,0,3.52380994
Bug Fix,Medium,Junior,JavaScript,Medium,5,5,2,10,3,18,True,1,False,2.9,1,4,0,0,2.4066
Design Review,Medium,Junior,C++,Critical,9,5,1,18,6,17,False,1,False,4.3,1,2,1,1,2.6644695
Refactoring,Medium,Mid,Java,High,8,4,3,16,5,11,False,3,False,2.375,2,2,0,0,3.48834375
Documentation,Low,Mid,JavaScript,Medium,7,2,1,14,6,17,False,0,False,1.5,2,0,0,0,2.73675
Deployment,Medium,Tech Lead,Other,Critical,2,2,1,4,8,13,False,0,False,3.625,1,0,1,0,0.71963391
Refactoring,Medium,Senior,Other,Low,1,3,3,2,7,10,False,3,False,4.75,0,2,0,1,1.03650937
Feature Dev,Low,Mid,Java,Critical,4,5,0,8,4,10,False,3,True,1.85,4,1,0,0,1.63910175
Feature Dev,Medium,Junior,JavaScript,Medium,6,2,3,12,9,12,True,1,True,2.375,1,1,0,0,3.34336406
Client Meeting,High,Tech Lead,JavaScript,Low,4,2,2,8,4,16,True,1,False,1.5,2,0,0,0,2.65188
Refactoring,Medium,Tech Lead,Java,High,1,4,1,2,3,12,False,3,False,3.875,0,3,1,0,0.67248281
Code Review,High,Junior,Other,Low,8,5,0,16,7,17,True,2,False,3.05,2,2,1,0,4.11874271
Feature Dev,Medium,Tech Lead,Other,Medium,3,5,1,6,1,13,False,2,False,1.85,4,1,0,0,1.561625
Bug Fix,Low,Senior,Java,Low,1,4,1,2,2,17,False,2,False,2.8125,1,3,0,0,0.74927188
Client Meeting,Low,Tech Lead,Go,High,13,3,3,26,7,13,True,1,False,4.75,0,2,0,1,4.04963803
Client Meeting,Medium,Junior,Go,Low,13,5,3,26,9,16,True,2,True,3.6,3,0,1,1,6.29080452
Code Review,Medium,Mid,Other,High,2,4,1,4,10,15,True,0,False,2.375,2,2,0,0,0.88091719
Client Meeting,Medium,Mid,Java,High,9,2,1,18,5,12,False,0,True,1.5,2,0,0,0,3.8053125
Documentation,Medium,Tech Lead,Python,Medium,13,4,2,26,5,14,False,0,False,5.625,0,1,2,1,4.16075
Design Review,Medium,Senior,C++,Critical,12,5,2,24,5,14,False,1,False,2.75,4,0,0,1,4.0415375
Testing,High,Senior,Other,Critical,7,5,3,14,8,12,True,3,True,3.05,2,2,1,0,3.58213847
Code Review,Medium,Junior,Python,Low,10,2,3,20,7,10,False,0,True,3.625,1,0,1,0,4.79859909
Feature Dev,Low,Mid,JavaScript,High,8,3,2,16,1,10,False,0,True,2.66666667,1,2,0,0,3.04326
Feature Dev,Medium,Junior,C++,High,3,3,2,6,2,11,True,3,False,3.5,1,1,1,0,1.52622225
Code Review,Low,Senior,Other,High,4,3,2,8,1,16,True,1,False,4.16666667,1,1,0,1,1.4729085
Feature Dev,High,Senior,Other,Medium,8,2,2,16,2,12,True,3,False,2.375,1,1,0,0,4.4097375
Client Meeting,Medium,Mid,Java,Critical,3,2,3,6,4,9,False,1,True,1.5,2,0,0,0,1.67715625
Refactoring,Medium,Mid,Python,High,3,3,0,6,9,14,True,3,True,5.0,1,0,1,1,1.2193335
Documentation,High,Mid,Other,Low,12,3,2,24,8,11,False,1,True,2.66666667,1,2,0,0,6.92442667
Testing,Medium,Mid,Python,Low,10,5,0,20,2,13,False,1,False,3.6,3,0,1,1,3.817264
Code Review,High,Junior,Go,Medium,3,3,0,6,9,13,True,2,False,3.25,0,3,0,0,1.5553125
Refactoring,High,Mid,JavaScript,Medium,9,4,0,18,7,9,False,2,False,4.5625,1,1,1,1,3.4812225
Testing,Low,Tech Lead,JavaScript,Low,2,4,1,4,10,9,False,1,False,3.9375,1,2,0,1,0.91545266
Client Meeting,Low,Tech Lead,Python,Low,8,3,3,16,2,9,True,0,True,3.58333333,2,0,0,1,3.70103797
Code Review,Medium,Senior,Java,Critical,2,3,2,4,10,16,False,3,False,2.08333333,2,1,0,0,1.18504167
Testing,High,Tech Lead,Other,Critical,2,2,1,4,7,15,False,1,True,3.25,0,2,0,0,1.02557813
Design Review,Medium,Mid,Other,Critical,4,5,2,8,6,14,True,1,False,3.1,3,1,0,1,1.60248375
Documentation,High,Tech Lead,JavaScript,Medium,2,2,0,4,4,12,False,0,False,2.375,1,1,0,0,0.90275
Documentation,Low,Junior,JavaScript,Medium,13,5,1,26,2,15,False,0,False,2.9,1,4,0,0,4.61265
Code Review,High,Junior,Go,High,1,2,1,2,9,9,True,3,False,3.25,0,2,0,0,0.80620313
Client Meeting,High,Senior,Go,Low,11,5,0,22,7,18,False,2,False,3.55,2,1,2,0,5.0173299
Client Meeting,Medium,Junior,JavaScript,Critical,13,4,0,26,5,10,True,3,False,5.625,0,1,2,1,3.71346938
Bug Fix,Medium,Junior,Go,High,3,2,0,6,9,12,False,0,False,3.625,1,0,1,0,0.9624825
Documentation,Medium,Senior,Go,Medium,9,3,3,18,2,10,False,0,False,2.66666667,1,2,0,0,3.915
Testing,Medium,Tech Lead,Java,Medium,4,2,3,8,8,12,True,0,True,1.5,2,0,0,0,2.42694375
Design Review,Low,Junior,Python,Low,11,2,3,22,2,15,True,3,False,1.5,2,0,0,0,5.57605125
Code Review,High,Junior,Go,Low,13,4,2,26,1,10,False,3,False,3.0,2,1,1,0,6.669817
Client Meeting,High,Mid,Other,High,11,2,0,22,9,12,False,3,False,3.625,1,0,1,0,4.2990885
Client Meeting,High,Mid,Other,Low,8,3,0,16,4,18,False,3,False,5.0,1,0,1,1,3.423596
Deployment,High,Senior,Go,High,10,4,1,20,6,14,True,0,False,3.625,2,0,2,0,3.87659672
Documentation,Low,Mid,JavaScript,Low,9,4,2,18,9,12,False,1,False,1.9375,3,1,0,0,4.0165125
Client Meeting,High,Junior,Java,Critical,2,3,1,4,1,17,True,2,False,4.33333333,1,0,2,0,0.94116208
Refactoring,Medium,Mid,Java,Medium,9,5,0,18,6,18,False,0,False,2.7,3,1,1,0,3.36978
Documentation,High,Tech Lead,Java,Critical,3,4,0,6,10,17,False,1,True,3.0,2,1,1,0,1.2751717
Refactoring,Low,Junior,C++,Critical,3,2,1,6,6,11,False,1,True,2.375,1,1,0,0,1.22023344
Client Meeting,Low,Tech Lead,C++,Critical,6,5,3,12,7,14,False,0,False,2.2,3,2,0,0,2.196315
Design Review,Medium,Mid,Go,Medium,9,2,2,18,10,16,False,3,False,1.5,2,0,0,0,4.305
Documentation,Medium,Mid,Java,Critical,12,4,0,24,3,13,False,1,True,5.0,0,2,1,1,3.582733
Design Review,Medium,Senior,Go,Low,13,3,0,26,10,17,False,3,False,2.08333333,2,1,0,0,6.02479167
Testing,Low,Mid,Go,Medium,11,3,1,22,6,9,False,3,False,2.66666667,1,2,0,0,4.263
Documentation,High,Junior,JavaScript,Low,1,2,1,2,10,17,True,2,False,1.5,2,0,0,0,0.95893875
Design Review,Medium,Junior,JavaScript,High,2,2,2,4,7,17,True,1,False,1.5,2,0,0,0,1.16235
Refactoring,Medium,Mid,Java,High,12,2,2,24,2,9,False,1,True,1.5,2,0,0,0,5.2767
Client Meeting,High,Mid,C++,Low,5,2,2,10,5,17,True,3,False,3.25,0,2,0,0,3.14015625
Documentation,Medium,Junior,Python,Low,10,2,3,20,3,17,False,2,False,3.25,0,2,0,0,4.7953125
Testing,Medium,Mid,C++,Critical,8,3,3,16,2,13,True,3,False,3.5,1,1,1,0,3.16314272
Documentation,High,Junior,C++,Low,6,2,0,12,3,14,False,3,False,3.25,0,2,0,0,3.155625
Deployment,Medium,Senior,Go,High,5,4,3,10,5,9,True,3,False,2.8125,1,3,0,0,2.49317578
Deployment,Medium,Senior,C++,Critical,4,2,3,8,2,18,False,2,False,3.625,1,0,1,0,1.70439609
Code Review,High,Junior,Other,Critical,7,5,1,14,2,9,True,3,False,3.95,2,1,1,1,2.71962689
Code Review,Medium,Tech Lead,C++,High,6,3,0,12,6,10,False,1,False,2.91666667,2,0,1,0,2.08246875
Deployment,Low,Tech Lead,Java,Critical,7,4,0,14,5,11,True,1,False,3.5,2,1,0,1,2.05482506
Testing,Medium,Mid,Java,Low,10,4,0,20,1,10,False,2,True,4.5625,1,1,1,1,4.07639925
Design Review,High,Junior,Python,Low,13,2,2,26,3,9,False,3,False,4.5,0,1,1,0,6.1432525
Testing,High,Senior,Python,Medium,8,3,1,16,5,11,True,3,True,2.91666667,2,0,1,0,4.41497258
Testing,Low,Mid,JavaScript,High,5,2,0,10,1,11,True,0,False,2.375,1,1,0,0,1.66910625
Feature Dev,Medium,Mid,Go,High,6,3,0,12,4,18,True,0,False,3.58333333,2,0,0,1,1.9840275
Testing,Low,Senior,Python,Low,6,5,2,12,2,10,False,1,True,2.2,3,2,0,0,3.066624
Refactoring,High,Mid,JavaScript,Low,8,4,2,16,2,18,False,2,True,2.375,2,2,0,0,4.96296625
Refactoring,Low,Tech Lead,Other,High,2,4,0,4,6,10,False,1,True,2.375,2,2,0,0,0.79657875
Client Meeting,Medium,Junior,Other,Critical,7,4,3,14,6,11,False,0,False,2.5625,3,0,1,0,2.60426055
Testing,Medium,Junior,Other,Low,9,2,2,18,2,12,True,2,False,2.375,1,1,0,0,4.64670938
Design Review,High,Mid,Python,Critical,2,4,0,4,2,13,False,0,False,2.8125,1,3,0,0,0.75023125
Refactoring,Medium,Senior,Go,Critical,13,3,3,26,10,9,True,0,False,2.08333333,2,1,0,0,5.02161406
Refactoring,Medium,Junior,Python,Medium,9,2,3,18,10,18,False,1,False,2.375,1,1,0,0,4.0721875
Refactoring,Low,Junior,JavaScript,Medium,3,2,3,6,5,13,True,1,False,2.375,1,1,0,0,1.67940938
Testing,High,Senior,JavaScript,Critical,9,4,1,18,3,14,False,3,False,3.0,2,1,1,0,3.59523225
Design Review,High,Tech Lead,JavaScript,High,8,5,3,16,2,18,False,3,False,3.05,2,2,1,0,3.66435202
Code Review,High,Junior,Java,Critical,3,5,0,6,8,12,False,1,True,4.65,0,3,1,1,1.10441078
Refactoring,Medium,Senior,Other,High,4,5,3,8,1,12,False,2,False,3.2,3,0,2,0,1.78929
Code Review,Medium,Mid,Go,Medium,4,3,0,8,2,9,True,2,False,3.5,1,1,1,0,1.6958025
Bug Fix,Low,Tech Lead,JavaScript,Low,13,4,3,26,7,17,True,0,False,3.9375,1,2,0,1,5.08359354
Feature Dev,High,Tech Lead,Other,High,1,5,2,2,9,11,False,2,False,3.05,2,2,1,0,0.7940808
Refactoring,Low,Senior,C++,High,5,5,1,10,4,12,False,0,True,2.55,2,3,0,0,1.87741125
Code Review,Low,Tech Lead,JavaScript,Critical,8,5,1,16,9,11,True,3,False,2.2,3,2,0,0,2.94230475
Code Review,High,Tech Lead,Other,Low,6,4,3,12,1,15,False,3,False,5.0,0,2,1,1,3.019302
Refactoring,Medium,Mid,C++,Critical,2,3,3,4,1,9,False,3,False,1.5,3,0,0,0,1.3504375
Refactoring,Medium,Junior,C++,Critical,3,4,3,6,6,15,True,2,True,3.0,2,1,1,0,1.67366286
Feature Dev,High,Tech Lead,Other,Medium,6,3,1,12,7,9,False,0,False,3.5,1,1,1,0,2.6109975
Testing,High,Junior,C++,Low,9,4,2,18,8,13,False,1,False,4.5625,1,1,1,1,4.00581225
Deployment,Medium,Mid,Python,High,5,2,0,10,4,14,False,2,True,3.625,1,0,1,0,1.94100638
Deployment,Medium,Junior,Other,Medium,8,5,1,16,6,10,False,1,False,3.95,2,1,1,1,2.864535
Refactoring,Medium,Junior,Other,Medium,9,5,0,18,1,10,False,2,False,3.9,1,2,2,0,3.23266
Feature Dev,Medium,Mid,Python,High,13,4,3,26,3,16,True,2,False,2.375,2,2,0,0,5.42459531
Client Meeting,Medium,Mid,Go,Medium,1,4,1,2,5,14,False,2,False,4.0625,1,1,2,0,0.63229688
Code Review,High,Junior,Other,Low,6,4,3,12,7,18,False,3,False,3.625,2,0,2,0,3.33445612
Bug Fix,Low,Mid,Java,Low,2,2,1,4,2,10,False,1,True,1.5,2,0,0,0,1.2030425
Bug Fix,Medium,Senior,Other,Low,10,5,0,20,4,12,False,0,False,3.05,2,2,1,0,4.04393
Deployment,High,Mid,Other,Medium,12,3,3,24,5,10,False,1,False,2.91666667,2,0,1,0,5.61803792
Design Review,Medium,Junior,Go,High,2,2,2,4,7,9,False,2,False,3.25,0,2,0,0,1.096875
Documentation,Medium,Junior,Java,Low,4,4,2,8,2,14,False,1,False,3.0,2,1,1,0,2.0273
Client Meeting,Low,Mid,Java,High,2,2,0,4,4,14,False,3,True,2.375,1,1,0,0,0.99086625
Feature Dev,Medium,Mid,Other,Critical,13,3,3,26,5,13,True,0,False,2.66666667,1,2,0,0,4.8745375
Code Review,Medium,Junior,Python,High,1,5,2,2,9,10,True,2,False,3.95,2,1,1,1,0.70617015
Refactoring,Medium,Junior,C++,Medium,11,3,1,22,6,11,False,0,False,3.5,1,1,1,0,4.0824875
Refactoring,High,Mid,Go,High,7,4,2,14,7,10,True,0,False,3.4375,1,2,1,0,2.99469555
Feature Dev,High,Junior,Java,Critical,13,4,3,26,8,12,False,0,False,3.0,2,1,1,0,5.03645825
Testing,Medium,Senior,Python,Medium,4,3,1,8,3,16,True,0,False,2.08333333,2,1,0,0,1.82984375
Documentation,Medium,Mid,C++,Low,11,5,1,22,7,11,False,0,True,2.35,4,0,1,0,5.24687914
Documentation,Medium,Senior,Other,Medium,5,5,0,10,8,15,False,1,False,3.4,1,3,1,0,1.89441
Design Review,High,Senior,Go,Medium,7,3,0,14,4,12,False,3,False,4.91666667,0,1,2,0,2.82626667
Refactoring,Low,Junior,C++,Low,4,3,3,8,4,17,True,1,False,3.58333333,2,0,0,1,2.01066491
Client Meeting,Medium,Mid,Python,High,13,2,1,26,5,9,False,3,False,2.375,1,1,0,0,4.98965625
Client Meeting,Medium,Tech Lead,C++,High,7,4,2,14,8,12,True,1,False,4.5625,1,1,1,1,2.425626
Deployment,High,Junior,Python,Critical,3,2,2,6,6,15,False,3,False,1.5,2,0,0,0,1.725075
Code Review,Medium,Mid,JavaScript,Low,13,4,1,26,7,9,True,3,False,2.375,2,2,0,0,6.40339219
Testing,Low,Junior,Java,High,2,4,3,4,5,17,True,2,False,3.25,0,4,0,0,1.21373438
Documentation,Medium,Tech Lead,Java,High,7,5,0,14,4,18,True,3,False,3.05,2,2,1,0,2.69243021
Client Meeting,High,Junior,C++,Medium,13,3,2,26,6,18,False,2,False,4.16666667,1,1,0,1,5.4891
Feature Dev,Low,Mid,Python,Critical,13,3,2,26,5,18,False,1,True,2.08333333,2,1,0,0,4.73000917
Bug Fix,High,Mid,Python,Low,2,4,0,4,4,16,False,3,True,5.1875,1,0,2,1,1.1167453
Refactoring,High,Senior,Python,High,10,2,1,20,8,18,True,0,False,2.375,1,1,0,0,4.40458594
Bug Fix,Medium,Junior,Other,High,6,5,2,12,9,16,False,0,True,3.6,3,0,1,1,2.2624272
Feature Dev,Medium,Senior,Go,Low,10,2,1,20,9,18,True,1,False,4.5,0,1,1,0,4.16630156
Client Meeting,High,Tech Lead,Java,High,9,4,2,18,5,13,True,3,False,2.375,2,2,0,0,4.39531312
Design Review,Medium,Senior,Python,Low,11,5,1,22,10,11,True,1,True,2.2,3,2,0,0,5.84874675
Feature Dev,Medium,Senior,Other,Critical,11,4,1,22,7,13,True,0,True,4.125,2,0,1,1,3.67295992
Feature Dev,High,Mid,C++,Medium,11,5,3,22,7,16,False,2,False,3.4,1,3,1,0,5.150991
Bug Fix,Medium,Senior,JavaScript,Medium,12,4,1,24,10,18,False,0,False,2.375,2,2,0,0,4.8571875
Feature Dev,Low,Senior,Go,Critical,3,3,3,6,8,14,False,3,True,2.66666667,1,2,0,0,1.654015
Refactoring,Low,Junior,Go,Critical,10,5,1,20,5,17,False,1,False,1.85,4,1,0,0,3.29704375
