task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Client Meeting,Low,Junior,Go,Critical,9,3,3,18,8,9,True,3,False,2.66666667,1,2,0,0,3.4423725
Client Meeting,High,Tech Lead,Go,Critical,6,4,3,12,6,9,False,2,False,3.25,0,4,0,0,2.71734375
Feature Dev,High,Tech Lead,Java,High,1,2,3,2,10,15,False,3,False,4.5,0,1,1,0,0.92428875
Deployment,High,Junior,Go,Medium,3,2,0,6,3,14,False,0,False,2.375,1,1,0,0,1.354125
Client Meeting,High,Senior,Python,Low,2,2,1,4,3,15,True,1,False,2.375,1,1,0,0,1.32601219
Documentation,Low,Senior,Java,High,6,2,0,12,4,9,False,1,True,2.375,1,1,0,0,2.19544875
Feature Dev,Medium,Mid,Other,High,3,4,2,6,2,17,True,1,False,2.375,2,2,0,0,1.48365
Refactoring,High,Senior,Java,Critical,2,4,1,4,8,13,False,2,False,3.625,2,0,2,0,0.93228319
Testing,Medium,Junior,C++,Critical,7,3,0,14,7,14,True,1,False,4.33333333,1,0,2,0,2.14911025
Documentation,Medium,Senior,Other,Low,11,3,2,22,7,13,False,3,False,1.5,3,0,0,0,5.6375
Documentation,High,Mid,Other,Critical,12,5,0,24,9,16,True,2,False,3.05,2,2,1,0,4.69196978
Testing,Medium,Junior,C++,Medium,8,4,2,16,5,18,False,3,True,2.375,2,2,0,0,4.101625
Design Review,High,Junior,C++,Low,4,3,2,8,1,11,False,0,True,3.5,1,1,1,0,2.32333915
Bug Fix,Medium,Senior,Other,Low,4,3,2,8,7,16,True,1,False,2.91666667,2,0,1,0,2.13800125
Deployment,High,Mid,Go,Medium,7,2,0,14,3,14,False,2,False,2.375,1,1,0,0,3.355875
Deployment,Medium,Senior,Go,Medium,5,2,1,10,6,18,False,0,True,2.375,1,1,0,0,2.32065625
Bug Fix,Low,Tech Lead,Python,Critical,7,3,1,14,2,9,True,0,False,1.5,3,0,0,0,2.44254938
Testing,Medium,Mid,Other,Low,7,3,2,14,1,13,False,0,False,2.08333333,2,1,0,0,3.39579167
Testing,High,Tech Lead,Python,Medium,13,2,0,26,10,13,True,0,False,3.25,0,2,0,0,5.8865625
Documentation,High,Junior,Other,Medium,11,2,1,22,1,10,False,0,False,1.5,2,0,0,0,5.34025
Deployment,Medium,Mid,JavaScript,High,12,4,0,24,1,18,False,3,False,3.5,2,1,0,1,4.0334625
Design Review,Medium,Senior,Other,Low,2,2,2,4,9,13,True,1,False,3.25,0,2,0,0,1.299375
Refactoring,Medium,Senior,Go,High,1,3,2,2,8,18,False,0,False,1.5,3,0,0,0,0.64575
Documentation,High,Tech Lead,Python,Critical,13,4,2,26,7,15,False,0,False,4.125,2,0,1,1,4.3891705
Documentation,Low,Tech Lead,Go,Critical,2,3,0,4,7,16,True,3,False,4.16666667,1,1,0,1,0.77114231
Feature Dev,High,Junior,Other,Low,5,2,3,10,7,18,True,0,False,2.375,1,1,0,0,3.11669531
Client Meeting,Low,Mid,C++,Low,8,5,3,16,7,11,False,0,False,1.85,4,1,0,0,3.6904725
Deployment,Medium,Mid,Java,Critical,5,5,2,10,10,11,True,2,False,4.15,0,4,0,1,1.89182109
Bug Fix,Medium,Senior,Other,Medium,12,3,3,24,7,13,False,0,False,4.16666667,1,1,0,1,4.4471875
Code Review,Medium,Tech Lead,Other,Low,7,2,2,14,6,11,True,1,False,5.75,0,0,2,0,2.953104
Feature Dev,Low,Mid,Other,High,3,2,1,6,8,15,False,3,False,3.25,0,2,0,0,1.2909375
Design Review,High,Mid,Go,Low,2,3,1,4,6,14,False,1,False,2.91666667,2,0,1,0,1.19117212
Code Review,High,Tech Lead,Java,High,3,5,0,6,10,9,False,3,False,3.95,2,1,1,1,1.2554136
Code Review,Low,Senior,C++,High,6,4,1,12,9,17,False,3,False,3.25,0,4,0,0,2.2021875
Deployment,Low,Junior,JavaScript,Medium,9,4,3,18,9,17,False,0,False,2.375,2,2,0,0,3.6208125
Feature Dev,Medium,Mid,Java,High,8,3,2,16,1,14,False,2,False,2.66666667,1,2,0,0,3.219
Design Review,Medium,Senior,Python,Critical,2,2,1,4,1,13,False,1,False,2.375,1,1,0,0,0.87576563
Bug Fix,Low,Tech Lead,C++,Critical,5,3,2,10,4,16,True,0,False,4.16666667,1,1,0,1,1.58764594
Client Meeting,High,Junior,C++,Low,8,4,2,16,6,13,False,1,False,3.625,2,0,2,0,3.875949
Feature Dev,Medium,Junior,C++,Medium,2,5,2,4,4,16,False,2,False,3.05,2,2,1,0,1.1947975
Code Review,High,Senior,Python,Low,7,2,3,14,5,10,True,3,False,4.5,0,1,1,0,3.89181581
Bug Fix,Low,Junior,Java,Medium,4,3,0,8,1,18,True,3,False,2.08333333,2,1,0,0,1.8193875
Documentation,High,Junior,JavaScript,Low,9,3,1,18,9,11,True,3,False,2.08333333,2,1,0,0,5.27936063
Code Review,Medium,Senior,JavaScript,High,6,4,3,12,4,12,True,0,False,1.5,4,0,0,0,2.76058125
Deployment,High,Junior,Java,High,3,2,3,6,7,17,False,0,True,2.375,1,1,0,0,1.77773063
Design Review,Medium,Senior,Other,High,10,5,3,20,5,12,False,3,False,3.95,2,1,1,1,3.5495325
Testing,High,Junior,Python,Low,2,3,2,4,4,11,False,3,False,5.0,1,0,1,1,1.307504
Testing,High,Tech Lead,JavaScript,Critical,3,3,0,6,4,15,True,0,False,2.08333333,2,1,0,0,1.22651813
Refactoring,Medium,Tech Lead,Python,Low,5,2,1,10,10,14,True,1,False,3.625,1,0,1,0,2.31597352
Bug Fix,Low,Mid,Java,Critical,7,4,0,14,7,17,False,1,False,3.5,2,1,0,1,1.95697625
Documentation,Medium,Junior,JavaScript,Critical,6,5,2,12,8,12,False,2,True,3.55,2,1,2,0,2.35127723
Design Review,Medium,Senior,Go,Medium,5,5,3,10,7,17,False,2,True,2.9,1,4,0,0,2.783825
Code Review,High,Junior,Other,Medium,9,3,1,18,5,18,False,2,False,2.08333333,2,1,0,0,4.47129167
Refactoring,Medium,Junior,Other,Low,9,5,2,18,9,14,False,2,False,3.05,2,2,1,0,4.14502825
Design Review,Medium,Tech Lead,Go,High,9,4,0,18,9,14,False,3,True,3.4375,1,2,1,0,3.47598591
Refactoring,Medium,Tech Lead,Other,Medium,3,2,3,6,4,17,False,0,True,1.5,2,0,0,0,1.860375
Design Review,Low,Senior,Java,Critical,7,5,0,14,10,15,True,1,True,3.1,3,1,0,1,2.30917908
Deployment,Medium,Mid,Other,High,11,4,1,22,6,11,False,3,True,4.0625,1,1,2,0,4.04796459
Refactoring,Medium,Senior,C++,Medium,4,5,1,8,1,14,True,3,False,4.45,2,0,2,1,1.68104869
Client Meeting,High,Mid,Other,Medium,12,2,2,24,4,17,False,3,True,3.625,1,0,1,0,5.99947425
Documentation,High,Tech Lead,Java,High,13,4,1,26,7,12,False,1,False,2.375,2,2,0,0,5.50186875
Testing,Low,Mid,C++,Low,9,5,0,18,3,9,True,0,False,3.45,2,2,0,1,3.29734598
Testing,Low,Tech Lead,Other,High,7,4,0,14,3,17,False,3,False,1.9375,3,1,0,0,2.54593125
Deployment,High,Senior,Other,Medium,1,4,1,2,7,12,False,2,True,4.125,2,0,1,1,0.73262475
Refactoring,Medium,Junior,C++,High,7,3,2,14,8,11,False,3,False,2.08333333,2,1,0,0,3.04725
Refactoring,Low,Tech Lead,Go,Low,3,5,2,6,3,13,True,1,False,2.2,3,2,0,0,1.692306
Design Review,Medium,Mid,Other,Low,9,2,1,18,6,17,True,0,False,1.5,2,0,0,0,4.43953125
Design Review,Low,Junior,JavaScript,Low,10,2,1,20,6,15,False,2,False,1.5,2,0,0,0,4.453625
Documentation,Medium,Mid,Python,High,11,3,1,22,9,15,False,0,False,2.08333333,2,1,0,0,4.0779375
Bug Fix,Low,Mid,JavaScript,Medium,6,3,2,12,7,17,False,1,True,2.08333333,2,1,0,0,2.80426667
Code Review,Medium,Junior,Java,Low,3,2,0,6,7,16,False,3,False,1.5,2,0,0,0,1.69125
Feature Dev,Medium,Junior,C++,Critical,13,4,2,26,5,14,True,0,False,2.8125,1,3,0,0,4.70933203
Design Review,Medium,Senior,C++,Critical,10,4,1,20,10,15,False,1,False,4.5625,1,1,1,1,2.89767656
Testing,Medium,Senior,Other,Low,7,3,3,14,10,12,False,2,False,2.91666667,2,0,1,0,3.51243062
Refactoring,Medium,Junior,JavaScript,High,4,5,3,8,10,10,False,1,False,3.2,3,0,2,0,1.709766
Documentation,High,Tech Lead,Other,Critical,8,4,0,16,3,16,True,3,False,4.0625,1,1,2,0,2.99468446
Feature Dev,High,Junior,Python,Critical,5,3,1,10,7,10,True,3,False,2.91666667,2,0,1,0,2.27162633
Code Review,Low,Junior,Other,Medium,11,4,3,22,10,17,True,2,True,1.5,4,0,0,0,5.45766375
Code Review,Low,Senior,Go,Critical,8,4,1,16,4,15,False,3,False,3.5,2,1,0,1,2.48730188
Testing,Medium,Senior,Other,Medium,4,5,3,8,10,16,True,3,True,4.25,0,3,2,0,2.26436306
Bug Fix,High,Tech Lead,Other,High,2,5,3,4,6,17,False,1,True,3.05,2,2,1,0,1.33752985
Bug Fix,Medium,Tech Lead,JavaScript,High,7,4,0,14,3,12,True,3,True,2.375,2,2,0,0,3.16202906
Feature Dev,High,Tech Lead,Go,Medium,12,4,3,24,2,16,True,3,False,3.25,0,4,0,0,6.17203125
Code Review,Medium,Mid,Java,Critical,7,4,3,14,10,12,True,1,False,3.0,2,1,1,0,2.75516981
Refactoring,High,Senior,Other,Low,1,3,1,2,3,11,True,3,True,2.08333333,2,1,0,0,1.15133769
Code Review,Low,Mid,Other,High,6,5,2,12,7,15,False,1,True,2.75,4,0,0,1,2.317392
Client Meeting,Medium,Tech Lead,Other,Critical,10,2,1,20,3,10,True,0,False,3.25,0,2,0,0,3.47238281
Client Meeting,Medium,Mid,Java,Medium,11,3,0,22,8,18,True,2,False,2.08333333,2,1,0,0,4.809875
Documentation,High,Mid,Go,Critical,7,3,2,14,9,9,False,1,True,3.5,1,1,1,0,3.03692208
Refactoring,Medium,Tech Lead,C++,Medium,7,5,2,14,6,10,False,1,False,2.9,1,4,0,0,3.056
Client Meeting,Medium,Mid,Python,Low,8,4,0,16,9,14,False,3,False,2.375,2,2,0,0,3.7778125
Testing,Medium,Junior,Python,Critical,6,3,3,12,7,10,True,1,False,1.5,3,0,0,0,2.69869688
Design Review,Medium,Mid,Java,Critical,9,4,1,18,5,16,True,1,False,3.0625,3,0,0,1,3.09090182
Code Review,High,Mid,Python,Low,5,2,3,10,8,14,True,2,False,1.5,2,0,0,0,3.49243125
Refactoring,Medium,Mid,Java,Low,11,2,2,22,5,16,True,2,False,4.5,0,1,1,0,4.80350063
Feature Dev,Medium,Mid,Python,Medium,5,3,3,10,4,16,True,0,True,1.5,3,0,0,0,2.90049375
Design Review,High,Mid,Other,Medium,1,2,1,2,3,14,False,3,True,1.5,2,0,0,0,1.026025
Design Review,Medium,Senior,C++,Low,6,5,1,12,3,14,False,3,False,2.55,2,3,0,0,3.0487875
Design Review,Medium,Junior,JavaScript,High,2,5,2,4,4,12,False,0,False,4.45,2,0,2,1,0.77316525
Client Meeting,Medium,Junior,C++,Medium,10,4,2,20,4,11,False,3,False,3.5,2,1,0,1,4.04225
Design Review,High,Junior,JavaScript,Critical,7,2,1,14,10,11,False,3,True,3.625,1,0,1,0,3.05806535
Design Review,High,Junior,Go,Low,10,4,0,20,4,13,True,2,False,3.875,0,3,1,0,4.8735225
Refactoring,Medium,Tech Lead,Other,Critical,10,2,1,20,1,18,False,0,True,2.375,1,1,0,0,3.80749531
Refactoring,Low,Junior,Other,Low,13,2,0,26,5,9,False,1,True,3.25,0,2,0,0,5.4223125
Code Review,Medium,Mid,Java,High,9,3,2,18,5,15,False,1,False,2.08333333,2,1,0,0,3.585
Client Meeting,Low,Junior,Other,Low,5,3,1,10,7,16,False,1,True,3.58333333,2,0,0,1,2.16992073
Code Review,Low,Junior,Other,Medium,5,2,2,10,10,11,True,3,False,1.5,2,0,0,0,2.583
Code Review,High,Senior,Other,Low,8,4,2,16,7,13,True,1,True,2.375,2,2,0,0,5.08644675
Design Review,Low,Tech Lead,Python,Critical,4,2,1,8,8,10,False,0,True,3.25,0,2,0,0,1.39373438
Deployment,Medium,Mid,Other,High,11,4,1,22,8,12,False,0,False,4.125,2,0,1,1,3.36711375
Documentation,Medium,Mid,Go,Low,6,3,2,12,8,11,True,1,False,5.0,1,0,1,1,2.528988
Documentation,Medium,Junior,Go,Critical,8,5,0,16,8,10,False,3,False,4.8,1,1,2,1,2.277065
Feature Dev,Medium,Junior,Other,Low,11,2,1,22,8,18,False,2,True,5.75,0,0,2,0,4.5922525
Feature Dev,High,Tech Lead,C++,Critical,9,3,3,18,4,15,True,1,False,2.08333333,2,1,0,0,4.16838406
Client Meeting,Low,Senior,JavaScript,High,11,3,0,22,6,15,True,3,False,2.08333333,2,1,0,0,4.00892625
Testing,Medium,Mid,Python,High,11,3,1,22,3,13,True,3,True,5.58333333,0,1,1,1,3.94251165
Code Review,Medium,Junior,Java,Low,11,5,3,22,7,17,False,3,True,4.45,2,0,2,1,4.86664571
Design Review,High,Mid,Java,Medium,10,2,3,20,3,16,True,0,False,4.5,0,1,1,0,4.50049687
Bug Fix,High,Senior,Other,High,2,4,1,4,4,10,True,1,False,4.0625,1,1,2,0,0.93213205
Deployment,Medium,Mid,Go,Critical,3,3,0,6,8,11,False,0,True,1.5,3,0,0,0,1.15005
Code Review,Low,Senior,Other,Low,6,3,2,12,6,11,False,2,False,2.66666667,1,2,0,0,2.82846667
Testing,Medium,Tech Lead,Go,Low,9,2,0,18,10,15,False,0,False,4.5,0,1,1,0,3.36105
Client Meeting,Low,Tech Lead,Other,High,10,2,2,20,2,14,True,2,False,3.25,0,2,0,0,3.63234375
Bug Fix,High,Senior,JavaScript,Medium,11,3,3,22,6,10,False,0,False,4.16666667,1,1,0,1,4.66742917
Testing,Low,Tech Lead,Go,Critical,9,2,1,18,5,14,False,0,True,2.375,1,1,0,0,3.11021906
Documentation,Medium,Tech Lead,Python,Low,4,5,2,8,9,10,True,2,False,3.9,1,2,2,0,2.06337285
Refactoring,High,Junior,Java,High,8,2,3,16,7,12,False,1,False,3.25,0,2,0,0,3.5690625
Documentation,High,Senior,Other,Medium,5,3,0,10,3,9,True,2,False,5.0,1,0,1,1,2.05275
Bug Fix,Medium,Mid,JavaScript,Low,9,5,3,18,6,11,False,3,False,3.55,2,1,2,0,4.14931275
Deployment,High,Mid,C++,Critical,2,3,2,4,5,14,False,2,True,4.16666667,1,1,0,1,1.12467254
Code Review,Medium,Tech Lead,Python,Critical,8,2,1,16,8,9,True,1,False,1.5,2,0,0,0,3.15610313
Design Review,Medium,Mid,Python,Low,1,5,3,2,5,13,False,3,True,3.9,1,2,2,0,1.18374905
Refactoring,High,Mid,C++,High,12,4,3,24,5,17,True,3,False,3.625,2,0,2,0,5.11710767
Bug Fix,Medium,Junior,JavaScript,Critical,12,5,1,24,9,12,True,3,False,4.45,2,0,2,1,3.65935598
Documentation,Low,Senior,Other,Low,10,4,1,20,6,14,True,3,True,3.5,2,1,0,1,4.52163009
Design Review,Low,Junior,C++,Critical,9,5,0,18,7,9,True,2,True,2.75,4,0,0,1,3.08804554
Testing,High,Junior,Java,Medium,8,2,1,16,6,10,True,2,False,4.5,0,1,1,0,3.59148562
Client Meeting,Low,Junior,Go,High,8,3,0,16,9,9,False,1,False,4.16666667,1,1,0,1,2.2718775
Refactoring,Low,Tech Lead,Other,Medium,2,3,0,4,9,9,False,0,False,2.08333333,2,1,0,0,0.717
Deployment,High,Junior,C++,High,10,2,2,20,5,18,False,0,True,1.5,2,0,0,0,4.972275
Deployment,Low,Mid,Other,Low,9,5,1,18,2,17,False,1,False,2.55,2,3,0,0,3.7334275
Deployment,High,Tech Lead,C++,Low,1,5,0,2,3,11,False,3,False,3.9,1,2,2,0,0.7111852
Bug Fix,High,Senior,Go,Critical,10,2,3,20,2,14,False,0,False,1.5,2,0,0,0,4.3998125
Code Review,Low,Tech Lead,Go,Low,1,3,2,2,3,12,True,2,False,2.08333333,2,1,0,0,0.98916125
Documentation,High,Senior,Other,Medium,2,2,3,4,5,18,False,0,True,3.625,1,0,1,0,1.34301956
Client Meeting,High,Senior,JavaScript,High,4,3,2,8,7,18,False,1,False,3.5,1,1,1,0,1.808856
Design Review,High,Junior,JavaScript,Critical,1,2,1,2,4,13,True,3,False,3.25,0,2,0,0,0.76141406
Feature Dev,High,Tech Lead,Python,Low,2,4,2,4,4,12,True,0,False,4.125,2,0,1,1,1.15863248
Client Meeting,Medium,Tech Lead,C++,Medium,7,3,1,14,1,17,True,0,False,2.91666667,2,0,1,0,2.86686531
Refactoring,Medium,Junior,Other,Critical,11,3,3,22,6,16,False,2,False,2.66666667,1,2,0,0,4.14941667
Documentation,Medium,Senior,C++,Medium,4,4,0,8,9,11,False,1,False,3.4375,1,2,1,0,1.53047812
Deployment,Low,Senior,C++,Medium,6,2,3,12,4,9,True,3,True,1.5,2,0,0,0,3.44507625
Design Review,High,Mid,Java,Low,7,4,3,14,6,18,False,2,True,3.0,2,1,1,0,4.31510805
Testing,Medium,Tech Lead,JavaScript,Medium,13,4,3,26,10,17,True,0,False,2.8125,1,3,0,0,5.69149219
Testing,Low,Mid,Java,Medium,9,5,0,18,3,12,False,0,False,2.2,3,2,0,0,3.2076
Design Review,Medium,Mid,JavaScript,Medium,13,5,3,26,7,18,False,2,True,2.75,4,0,0,1,5.88400313
Design Review,Medium,Mid,Python,Critical,4,3,3,8,10,12,False,3,False,3.5,1,1,1,0,1.79225687
Testing,High,Tech Lead,JavaScript,Medium,6,2,0,12,10,16,False,2,False,2.375,1,1,0,0,2.9045
Bug Fix,High,Tech Lead,Java,High,8,3,1,16,5,12,False,3,False,2.66666667,1,2,0,0,3.5931
Code Review,Medium,Senior,Python,Medium,4,4,2,8,9,11,False,2,False,4.5625,1,1,1,1,1.6844625
Client Meeting,Low,Senior,Go,Critical,4,3,0,8,2,12,False,1,True,2.66666667,1,2,0,0,1.39190333
Bug Fix,High,Junior,Other,High,6,5,2,12,6,17,True,1,True,4.45,2,0,2,1,2.5653623
Client Meeting,High,Junior,Java,Medium,12,2,2,24,5,14,True,2,True,4.5,0,1,1,0,5.90144363
Client Meeting,Medium,Senior,Java,Critical,2,2,2,4,4,14,False,1,False,3.625,1,0,1,0,0.90901125
Documentation,Medium,Tech Lead,Java,High,13,2,0,26,6,12,True,1,True,3.25,0,2,0,0,5.16501563
Refactoring,Medium,Tech Lead,Go,Critical,4,5,3,8,4,18,False,1,True,3.1,3,1,0,1,1.80470194
Documentation,Low,Mid,C++,Medium,2,4,0,4,1,9,False,0,False,3.5,2,1,0,1,0.6327
Code Review,Medium,Mid,JavaScript,Low,6,2,0,12,7,18,False,0,False,3.625,1,0,1,0,2.352735
Design Review,Low,Senior,Java,Low,3,2,3,6,9,10,True,3,False,2.375,1,1,0,0,2.07401906
Refactoring,Medium,Tech Lead,Go,Low,6,4,2,12,3,15,True,3,False,4.0625,1,1,2,0,2.92121156
Code Review,Medium,Tech Lead,C++,Medium,2,4,0,4,4,12,False,0,False,3.9375,1,2,0,1,0.686375
Refactoring,Medium,Tech Lead,Python,Critical,12,3,0,24,1,11,True,3,False,4.75,0,2,0,1,3.72959016
Deployment,High,Mid,Go,High,1,3,1,2,5,16,True,3,False,3.5,1,1,1,0,0.77159014
Code Review,High,Senior,Java,Critical,12,4,2,24,10,12,False,1,False,3.4375,1,2,1,0,4.53021525
Client Meeting,High,Tech Lead,JavaScript,Critical,5,2,3,10,3,12,False,0,True,2.375,1,1,0,0,2.52303906
Bug Fix,High,Mid,C++,High,13,5,2,26,5,11,False,1,False,2.55,2,3,0,0,5.584095
Client Meeting,Medium,Tech Lead,JavaScript,Medium,4,3,2,8,6,14,False,1,False,2.91666667,2,0,1,0,1.85108333
Bug Fix,High,Tech Lead,Other,Medium,2,3,2,4,1,11,False,0,False,3.58333333,2,0,0,1,1.06724583
Documentation,Low,Mid,C++,Low,9,2,0,18,10,17,False,1,True,1.5,2,0,0,0,4.142435
Client Meeting,Low,Tech Lead,C++,Critical,7,4,0,14,10,18,False,0,False,2.375,2,2,0,0,2.1018375
Bug Fix,Medium,Mid,JavaScript,Low,4,5,2,8,2,9,True,2,True,4.8,1,1,2,1,2.04212547
Code Review,High,Junior,Java,Critical,6,3,3,12,1,12,True,1,False,2.91666667,2,0,1,0,2.73421205
Code Review,Low,Senior,Go,High,8,4,1,16,1,11,False,3,False,3.9375,1,2,0,1,2.57133234
Code Review,Medium,Tech Lead,Go,Critical,12,5,1,24,7,12,True,0,False,3.95,2,1,1,1,3.66816161
Bug Fix,High,Senior,C++,Critical,12,2,2,24,6,16,True,1,False,3.625,1,0,1,0,4.70867827
Deployment,Medium,Tech Lead,Go,Critical,12,4,2,24,3,12,True,2,False,3.875,0,3,1,0,4.15818539
Testing,Medium,Senior,Java,Medium,10,2,1,20,2,10,False,3,False,2.375,1,1,0,0,4.3665625
Documentation,Medium,Tech Lead,Go,High,5,5,3,10,6,11,False,1,False,2.2,3,2,0,0,2.27205
Code Review,Medium,Senior,Go,Low,11,5,2,22,3,10,False,1,True,2.2,3,2,0,0,5.74992
Client Meeting,Medium,Mid,Java,High,3,5,2,6,2,10,True,2,False,3.9,1,2,2,0,1.36664955
Client Meeting,High,Tech Lead,JavaScript,Critical,2,2,1,4,8,18,False,0,True,2.375,1,1,0,0,0.98169156
Design Review,Medium,Junior,Go,High,6,4,2,12,4,14,False,0,False,3.625,2,0,2,0,2.09860875
Code Review,Low,Senior,Java,Critical,1,3,3,2,9,11,False,2,True,2.66666667,1,2,0,0,0.91287167
Code Review,Medium,Senior,Java,Critical,12,5,1,24,10,11,False,3,False,3.45,2,2,0,1,3.93202031
Deployment,Low,Senior,Python,Medium,7,5,1,14,2,11,True,3,False,2.55,2,3,0,0,3.03274125
Code Review,High,Junior,Other,Critical,4,5,0,8,10,9,False,0,False,5.15,0,2,2,1,1.183166
Code Review,Medium,Tech Lead,Python,Medium,6,5,0,12,4,18,False,3,False,3.4,1,3,1,0,2.43567
Refactoring,High,Junior,Other,Critical,4,2,1,8,7,15,True,1,False,4.5,0,1,1,0,1.58319459
Feature Dev,High,Senior,JavaScript,Critical,4,4,0,8,9,18,False,0,False,3.625,2,0,2,0,1.3507095
Bug Fix,High,Junior,Go,High,10,3,1,20,8,15,False,0,False,4.08333333,0,2,1,0,3.71479688
Design Review,Medium,Mid,JavaScript,Low,3,3,2,6,4,15,False,2,False,2.66666667,1,2,0,0,1.80766667
Client Meeting,Low,Tech Lead,C++,Low,13,4,0,26,7,15,True,1,False,3.5,2,1,0,1,4.85149088
Client Meeting,Medium,Senior,JavaScript,Critical,1,2,0,2,10,17,False,0,False,4.5,0,1,1,0,0.5
Refactoring,High,Mid,JavaScript,Medium,5,2,2,10,4,18,True,0,False,3.625,1,0,1,0,2.43294188
Bug Fix,Medium,Tech Lead,JavaScript,Low,8,5,0,16,2,14,False,2,False,3.55,2,1,2,0,3.243141
Feature Dev,Low,Senior,Other,Critical,9,5,0,18,6,17,True,0,False,3.45,2,2,0,1,2.54794916
Bug Fix,High,Mid,Other,High,1,3,0,2,6,11,False,1,False,4.75,0,2,0,1,0.5
Feature Dev,High,Tech Lead,C++,Critical,13,2,2,26,8,14,False,2,False,3.25,0,2,0,0,5.16375
Bug Fix,Medium,Senior,Java,Critical,13,5,3,26,2,18,False,2,True,4.45,2,0,2,1,4.27173801
Documentation,Low,Senior,Go,Medium,8,4,0,16,6,16,False,0,False,2.8125,1,3,0,0,2.763
Deployment,High,Junior,Java,Medium,11,5,0,22,7,13,False,2,False,3.05,2,2,1,0,4.8343345
Design Review,Medium,Tech Lead,JavaScript,Critical,13,5,2,26,8,10,False,1,False,1.85,4,1,0,0,4.7957
Documentation,Low,Mid,Java,Medium,4,2,1,8,5,17,True,2,False,1.5,2,0,0,0,1.9264875
Feature Dev,Medium,Tech Lead,Go,Low,10,4,2,20,4,14,False,3,False,3.25,0,4,0,0,4.74375
Bug Fix,Medium,Tech Lead,Other,Medium,12,4,0,24,1,15,True,0,True,4.0625,1,1,2,0,4.6739385
Deployment,Low,Mid,Java,Critical,8,3,1,16,1,9,True,3,False,4.16666667,1,1,0,1,2.51755284
Testing,Medium,Mid,Other,Medium,13,2,3,26,2,14,False,3,False,3.625,1,0,1,0,5.30256562
Deployment,Medium,Senior,JavaScript,Critical,3,4,0,6,3,9,False,2,False,3.0,2,1,1,0,1.096585
Testing,Low,Senior,Go,High,1,4,3,2,6,15,False,0,False,2.375,2,2,0,0,0.71533125
Code Review,High,Tech Lead,Go,Medium,5,4,0,10,1,13,False,0,False,3.4375,1,2,1,0,2.07064688
Bug Fix,Medium,Junior,Go,Critical,11,3,0,22,6,11,False,0,False,2.91666667,2,0,1,0,3.46152583
Client Meeting,Medium,Mid,Go,Medium,6,4,2,12,3,12,True,0,False,4.5625,1,1,1,1,2.27402438
Code Review,Low,Junior,C++,Medium,1,3,1,2,3,16,False,3,False,2.66666667,1,2,0,0,0.783
Testing,Medium,Junior,Go,Low,4,5,0,8,7,13,True,1,False,2.7,3,1,1,0,1.83793418
Code Review,High,Junior,Python,High,2,3,3,4,8,10,False,3,False,3.58333333,2,0,0,1,1.31481188
Refactoring,High,Senior,JavaScript,Low,8,5,0,16,4,10,False,2,True,3.95,2,1,1,1,3.89809244
Code Review,High,Junior,Python,Critical,13,3,2,26,8,11,True,0,False,5.0,1,0,1,1,4.3830318
Testing,Medium,Senior,Other,Low,7,3,3,14,1,16,False,1,True,2.08333333,2,1,0,0,4.03661042
