task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Design Review,High,Junior,JavaScript,Low,2,3,0,4,10,18,True,0,True,3.5,1,1,1,0,1.04875964
Code Review,High,Tech Lead,JavaScript,Medium,9,3,3,18,6,14,True,1,False,3.5,1,1,1,0,4.41850762
Code Review,High,Junior,C++,High,1,3,2,2,4,10,False,3,False,4.33333333,1,0,2,0,0.792138
Deployment,Medium,Junior,JavaScript,Low,5,3,2,10,1,18,False,0,False,2.08333333,2,1,0,0,2.51945833
Documentation,Medium,Tech Lead,Java,Critical,1,3,2,2,10,10,True,3,False,3.58333333,2,0,0,1,0.78075156
Testing,High,Junior,C++,High,11,4,1,22,7,15,True,1,True,3.4375,1,2,1,0,4.96932293
Code Review,High,Mid,Go,High,9,4,3,18,1,9,False,0,False,3.4375,1,2,1,0,3.71906184
Design Review,Low,Mid,C++,Medium,10,2,3,20,9,18,True,2,True,1.5,2,0,0,0,5.03146875
Code Review,High,Mid,Go,Medium,4,5,1,8,5,14,False,1,False,3.55,2,1,2,0,1.8123435
Design Review,Medium,Mid,C++,Low,4,3,2,8,3,11,True,0,False,5.58333333,0,1,1,1,1.716099
Code Review,Medium,Mid,C++,Medium,10,2,0,20,4,13,True,2,True,5.75,0,0,2,0,3.875949
Design Review,High,Mid,Other,Critical,10,2,2,20,3,14,False,2,False,2.375,1,1,0,0,4.25371875
Design Review,High,Tech Lead,Java,High,4,3,1,8,5,10,False,2,False,4.75,0,2,0,1,1.61498812
Deployment,Medium,Mid,Other,Medium,2,2,0,4,7,16,True,1,False,2.375,1,1,0,0,0.92728125
Bug Fix,High,Senior,Python,Medium,4,2,1,8,4,14,False,3,False,1.5,2,0,0,0,2.34725
Feature Dev,Low,Senior,Python,High,12,4,3,24,6,16,False,1,False,1.9375,3,1,0,0,4.39669688
Deployment,Low,Senior,Java,High,1,4,3,2,3,18,True,1,False,2.8125,1,3,0,0,0.82501453
Code Review,Low,Mid,Go,Critical,13,3,1,26,1,12,True,1,False,2.66666667,1,2,0,0,4.2533575
Refactoring,High,Junior,JavaScript,Critical,8,3,2,16,5,11,False,1,False,3.5,1,1,1,0,3.111663
Refactoring,High,Senior,Go,High,6,2,0,12,1,14,False,0,False,2.375,1,1,0,0,2.437425
Code Review,Medium,Mid,Go,Critical,7,5,0,14,2,11,True,1,True,3.1,3,1,0,1,2.55596158
Feature Dev,Low,Junior,C++,Critical,13,3,2,26,1,15,True,3,True,2.08333333,2,1,0,0,5.1620415
Code Review,High,Senior,Go,Low,10,2,3,20,9,18,False,2,False,1.5,2,0,0,0,5.919375
Documentation,Medium,Mid,Java,Medium,1,2,1,2,9,10,False,3,False,1.5,2,0,0,0,0.87125
Code Review,Medium,Mid,Python,High,13,4,2,26,10,10,False,1,True,4.5625,1,1,1,1,4.446981
Code Review,Low,Mid,C++,Critical,10,3,0,20,2,18,False,0,False,3.58333333,2,0,0,1,2.6768625
Refactoring,Low,Mid,Other,Critical,2,3,2,4,2,17,True,0,False,2.66666667,1,2,0,0,0.880005
Refactoring,Low,Senior,C++,Low,13,4,2,26,9,17,True,2,False,2.375,2,2,0,0,5.87072063
Code Review,High,Senior,Python,Low,7,4,1,14,1,10,False,0,True,2.8125,1,3,0,0,3.91204344
Code Review,High,Tech Lead,C++,Low,1,2,0,2,3,17,False,0,False,1.5,2,0,0,0,0.51865
Bug Fix,Medium,Mid,Other,Critical,8,4,2,16,8,13,True,3,False,3.5,2,1,0,1,2.98028062
Documentation,Medium,Mid,Java,High,1,2,3,2,9,9,False,0,False,3.625,1,0,1,0,0.68175844
Refactoring,High,Senior,JavaScript,Low,13,5,2,26,2,15,True,0,False,3.55,2,1,2,0,6.28978581
Client Meeting,High,Tech Lead,Go,Medium,12,2,2,24,6,15,False,3,False,1.5,2,0,0,0,6.273
Feature Dev,Medium,Junior,Other,Medium,6,5,1,12,1,13,True,2,False,3.1,3,1,0,1,2.59225313
Client Meeting,High,Senior,Java,Low,5,2,0,10,3,15,True,0,False,3.25,0,2,0,0,2.49046875
Refactoring,Medium,Senior,C++,Medium,11,2,0,22,1,12,False,1,False,2.375,1,1,0,0,4.415625
Refactoring,Medium,Junior,Go,Medium,7,2,3,14,7,13,True,2,True,2.375,1,1,0,0,3.91003594
Design Review,Medium,Tech Lead,JavaScript,Low,2,2,2,4,8,10,False,2,True,3.625,1,0,1,0,1.40183794
Client Meeting,Medium,Junior,JavaScript,Medium,9,2,2,18,5,11,False,3,True,2.375,1,1,0,0,4.533375
Refactoring,Low,Mid,Go,Medium,2,2,3,4,8,15,False,3,True,1.5,2,0,0,0,1.657425
Documentation,Low,Tech Lead,JavaScript,Low,8,2,1,16,2,9,False,2,False,3.25,0,2,0,0,3.3309375
Testing,Medium,Junior,Java,Medium,13,2,0,26,6,16,False,1,True,1.5,2,0,0,0,5.97575
Design Review,High,Senior,Java,Medium,11,5,1,22,6,15,True,3,False,4.45,2,0,2,1,4.51833086
Testing,Medium,Senior,Other,Critical,9,5,2,18,2,10,True,1,False,4.3,1,2,1,1,2.906694
Refactoring,Medium,Senior,Java,Low,4,3,1,8,8,13,True,2,False,4.33333333,1,0,2,0,1.87011825
Code Review,Low,Mid,Go,Critical,4,4,0,8,7,9,False,1,False,2.8125,1,3,0,0,1.25582188
Deployment,Low,Junior,JavaScript,High,8,3,2,16,9,11,False,1,False,2.66666667,1,2,0,0,2.8536
Documentation,Medium,Tech Lead,Java,Medium,7,5,2,14,3,14,False,1,True,1.85,4,1,0,0,3.5464
Code Review,Medium,Tech Lead,Java,Critical,2,2,2,4,6,13,False,1,False,2.375,1,1,0,0,1.000875
Refactoring,Medium,Junior,Other,High,1,4,2,2,3,12,False,1,True,3.0,2,1,1,0,0.729828
Feature Dev,Medium,Junior,Java,Critical,7,4,3,14,8,17,True,3,False,2.375,2,2,0,0,3.10896797
Documentation,Medium,Mid,Other,Low,6,5,1,12,3,18,True,1,False,5.15,0,2,2,1,2.31545738
Refactoring,Low,Mid,C++,Low,12,4,2,24,1,17,False,0,False,2.375,2,2,0,0,4.9867125
Code Review,Medium,Tech Lead,Other,Critical,2,4,3,4,10,15,False,3,False,2.5625,3,0,1,0,1.24203195
Bug Fix,High,Tech Lead,C++,High,5,4,0,10,8,9,False,0,False,5.0,0,2,1,1,1.61874
Testing,High,Junior,Go,High,5,5,3,10,1,12,True,1,False,3.55,2,1,2,0,2.33545174
Design Review,High,Mid,Go,High,9,2,1,18,2,10,False,0,False,2.375,1,1,0,0,3.78860625
Bug Fix,High,Tech Lead,Java,Critical,3,2,0,6,7,12,True,0,False,2.375,1,1,0,0,1.20855656
Design Review,Low,Tech Lead,Other,Critical,6,2,3,12,4,13,False,3,False,2.375,1,1,0,0,2.42712188
Client Meeting,High,Tech Lead,Python,High,10,5,1,20,1,9,False,1,True,2.55,2,3,0,0,4.66945875
Testing,High,Junior,Python,Medium,1,2,2,2,8,12,False,0,False,2.375,1,1,0,0,0.74575
Client Meeting,Medium,Tech Lead,Java,Medium,4,5,0,8,10,15,False,0,True,3.95,2,1,1,1,1.461328
Client Meeting,Medium,Junior,C++,Medium,6,4,3,12,2,13,False,1,True,2.5625,3,0,1,0,3.05912234
Bug Fix,Medium,Senior,Java,High,12,5,0,24,6,16,True,3,True,3.55,2,1,2,0,4.59715237
Client Meeting,Medium,Tech Lead,JavaScript,Medium,8,3,0,16,4,17,False,1,True,4.16666667,1,1,0,1,3.0749125
Client Meeting,High,Tech Lead,Go,Critical,3,4,2,6,2,12,True,1,False,3.9375,1,2,0,1,1.36301205
Refactoring,Low,Mid,Go,High,5,2,3,10,2,14,False,2,False,1.5,2,0,0,0,2.260125
Design Review,Low,Senior,Go,Low,1,3,1,2,5,18,True,0,False,4.75,0,2,0,1,0.5
Documentation,Medium,Junior,Python,High,8,4,0,16,9,16,False,3,False,3.0,2,1,1,0,2.902725
Documentation,Medium,Mid,JavaScript,Low,9,4,1,18,8,13,True,0,True,3.4375,1,2,1,0,4.28927748
Bug Fix,Medium,Tech Lead,Other,Low,9,4,1,18,9,13,False,1,True,3.0625,3,0,0,1,4.19046633
Refactoring,High,Junior,Python,High,13,4,0,26,5,9,False,1,True,4.5625,1,1,1,1,4.8281508
Documentation,High,Junior,Java,Low,9,2,2,18,10,10,False,2,False,1.5,2,0,0,0,5.2316
Code Review,Low,Senior,C++,Critical,3,3,3,6,4,16,True,1,False,3.58333333,2,0,0,1,1.27262505
Design Review,Medium,Tech Lead,Go,Critical,13,5,0,26,8,9,True,3,False,5.15,0,2,2,1,3.71346938
Code Review,Medium,Junior,C++,Critical,9,3,0,18,3,11,False,3,True,4.08333333,0,2,1,0,3.16865656
Testing,Medium,Mid,C++,High,11,2,2,22,10,18,False,0,False,2.375,1,1,0,0,4.1506875
Testing,High,Tech Lead,Python,Low,7,2,1,14,4,15,True,1,False,2.375,1,1,0,0,3.93270281
Feature Dev,Low,Senior,C++,Critical,11,4,2,22,8,12,False,2,False,3.0625,3,0,0,1,3.41012297
Testing,Medium,Tech Lead,JavaScript,Critical,8,5,2,16,10,18,False,0,True,3.05,2,2,1,0,3.00767294
Deployment,Medium,Junior,C++,Low,2,2,0,4,9,15,False,3,False,3.625,1,0,1,0,1.07833688
Deployment,High,Tech Lead,JavaScript,Low,2,5,3,4,9,14,True,2,False,3.95,2,1,1,1,1.50562451
Code Review,Low,Tech Lead,C++,Medium,11,2,0,22,8,14,False,3,False,3.25,0,2,0,0,3.99375
Deployment,Medium,Senior,C++,Medium,10,5,3,20,5,18,True,2,True,3.4,1,3,1,0,4.84495358
Refactoring,High,Mid,Java,High,3,4,1,6,7,18,False,0,False,4.0625,1,1,2,0,1.16089706
Testing,High,Junior,Java,Critical,1,2,1,2,1,14,True,2,False,2.375,1,1,0,0,0.70937016
Bug Fix,High,Junior,Other,Medium,3,5,2,6,4,17,True,0,False,4.3,1,2,1,1,1.4362488
Refactoring,High,Tech Lead,C++,Low,6,2,0,12,6,17,False,3,True,2.375,1,1,0,0,3.63317625
Refactoring,Medium,Senior,C++,High,6,5,0,12,9,10,False,3,False,2.2,3,2,0,0,2.4057
Feature Dev,Low,Tech Lead,Go,Critical,11,2,1,22,5,10,True,1,False,2.375,1,1,0,0,3.68697328
Feature Dev,Medium,Mid,Go,Medium,5,2,0,10,4,15,False,2,False,4.5,0,1,1,0,1.86725
Deployment,Medium,Tech Lead,JavaScript,Low,7,4,1,14,3,17,True,3,False,2.375,2,2,0,0,3.68336719
Testing,Low,Mid,C++,High,2,4,3,4,5,14,True,3,False,2.8125,1,3,0,0,1.33271578
Feature Dev,Low,Tech Lead,Java,Medium,10,3,1,20,10,18,True,0,False,2.08333333,2,1,0,0,3.92109375
Deployment,High,Mid,Python,Critical,2,2,2,4,2,11,False,1,False,2.375,1,1,0,0,1.1009625
Design Review,Low,Senior,Go,Critical,12,5,0,24,10,10,True,2,False,3.8,1,3,0,1,3.48747945
Code Review,Medium,Tech Lead,JavaScript,Medium,1,3,3,2,3,14,False,2,False,5.0,1,0,1,1,0.8211
Documentation,Medium,Senior,JavaScript,Medium,13,3,1,26,10,17,True,3,True,3.58333333,2,0,0,1,5.70867172
Testing,High,Junior,Java,High,7,5,2,14,8,18,False,3,False,3.45,2,2,0,1,3.02930775
Bug Fix,Medium,Junior,C++,High,2,5,3,4,2,16,False,0,True,3.55,2,1,2,0,1.07309812
Deployment,High,Tech Lead,Java,Medium,2,4,3,4,5,16,False,3,True,2.375,2,2,0,0,1.80255625
Bug Fix,Medium,Senior,Java,High,12,3,1,24,9,18,False,3,False,2.91666667,2,0,1,0,4.37318437
Refactoring,High,Mid,Other,Medium,1,2,1,2,1,12,False,3,False,2.375,1,1,0,0,0.8929375
Refactoring,Low,Junior,JavaScript,Critical,10,2,2,20,9,16,True,1,False,3.25,0,2,0,0,3.346875
Client Meeting,Low,Mid,Go,Medium,11,4,0,22,10,11,False,2,True,2.8125,1,3,0,0,4.3901
Refactoring,High,Senior,Python,Medium,4,5,1,8,1,15,False,2,False,2.55,2,3,0,0,2.129775
Testing,Medium,Tech Lead,Go,High,5,2,3,10,3,15,False,2,False,2.375,1,1,0,0,2.34028125
Deployment,Medium,Mid,Go,Medium,2,4,1,4,4,12,True,2,False,3.9375,1,2,0,1,1.03599727
Bug Fix,Medium,Tech Lead,Java,Medium,1,3,1,2,1,12,False,2,True,3.5,1,1,1,0,0.74023125
Testing,Low,Mid,JavaScript,High,8,3,1,16,4,12,True,3,False,2.66666667,1,2,0,0,3.041955
Code Review,Medium,Senior,Java,Medium,5,2,3,10,4,9,False,1,False,1.5,2,0,0,0,2.61375
Feature Dev,Medium,Tech Lead,Other,Critical,9,3,0,18,8,10,False,2,False,3.5,1,1,1,0,2.8981175
Feature Dev,High,Tech Lead,Go,Low,3,3,0,6,10,9,False,1,False,4.16666667,1,1,0,1,1.37905167
Documentation,High,Junior,Go,Critical,12,4,2,24,7,16,True,1,False,3.0,2,1,1,0,4.8688374
Testing,High,Junior,JavaScript,High,9,5,0,18,4,12,True,2,True,5.15,0,2,2,1,3.4128968
Testing,High,Mid,Other,Medium,5,2,1,10,5,17,False,1,False,4.5,0,1,1,0,2.1643125
Refactoring,Medium,Junior,Go,Low,1,2,1,2,6,15,False,1,False,1.5,2,0,0,0,0.732875
Deployment,Low,Junior,JavaScript,High,9,4,3,18,2,11,True,0,False,3.5,2,1,0,1,3.06424519
Bug Fix,Low,Mid,JavaScript,Low,12,2,3,24,10,18,False,0,True,2.375,1,1,0,0,5.66348063
Bug Fix,Medium,Tech Lead,Python,Low,3,2,0,6,8,18,False,0,False,1.5,2,0,0,0,1.353
Refactoring,Medium,Mid,JavaScript,Critical,13,5,2,26,7,16,True,1,False,3.6,3,0,1,1,4.2303072
Design Review,Medium,Junior,JavaScript,Medium,6,3,3,12,10,12,False,2,True,2.66666667,1,2,0,0,3.24316667
Bug Fix,Medium,Mid,Python,High,1,4,0,2,10,17,True,3,True,3.4375,1,2,1,0,0.65508965
Testing,Medium,Mid,C++,Critical,4,4,2,8,6,17,True,1,False,4.5625,1,1,1,1,1.43179313
Testing,Medium,Tech Lead,Java,Critical,4,5,0,8,5,12,True,0,True,5.15,0,2,2,1,1.1883102
Bug Fix,Medium,Junior,Python,Low,8,3,2,16,5,16,False,0,False,2.08333333,2,1,0,0,3.83395833
Deployment,High,Senior,JavaScript,High,7,3,0,14,2,14,False,1,False,2.91666667,2,0,1,0,2.7655185
Feature Dev,Low,Mid,Go,High,5,4,2,10,5,17,False,3,False,3.25,0,4,0,0,2.025
Deployment,High,Senior,Python,Medium,9,4,3,18,6,16,True,2,False,2.375,2,2,0,0,4.93519688
Bug Fix,High,Senior,Other,High,6,2,3,12,10,14,False,3,False,1.5,2,0,0,0,3.237975
Documentation,Medium,Senior,C++,High,1,4,1,2,7,11,False,3,False,2.5625,3,0,1,0,0.72117984
Bug Fix,Medium,Senior,C++,High,1,4,3,2,2,10,False,2,False,3.4375,1,2,1,0,0.85076578
Deployment,Medium,Senior,JavaScript,Low,3,3,2,6,10,13,False,2,True,3.25,0,3,0,0,1.9284375
Testing,Low,Senior,Python,High,12,2,0,24,3,17,False,2,False,3.25,0,2,0,0,3.81375
Feature Dev,High,Junior,Java,Critical,1,5,0,2,4,12,False,3,False,3.9,1,2,2,0,0.5495522
Client Meeting,Medium,Tech Lead,Python,Critical,7,3,0,14,1,9,False,0,False,2.91666667,2,0,1,0,2.20278917
Refactoring,High,Senior,JavaScript,Medium,9,2,2,18,6,18,False,0,False,3.625,1,0,1,0,3.9568725
Client Meeting,Medium,Junior,Python,Low,5,3,1,10,6,9,False,0,True,2.66666667,1,2,0,0,2.51478333
Refactoring,Medium,Mid,C++,Critical,2,4,0,4,10,15,False,1,False,3.4375,1,2,1,0,0.68871516
Feature Dev,High,Junior,Java,High,8,5,0,16,6,11,True,2,False,3.4,1,3,1,0,3.30763986
Refactoring,Medium,Senior,Java,High,8,4,0,16,3,10,True,3,False,3.9375,1,2,0,1,2.83773164
Testing,Medium,Tech Lead,Go,Critical,3,2,0,6,8,11,False,3,False,2.375,1,1,0,0,1.25109375
Documentation,Medium,Junior,Python,Medium,10,4,1,20,2,13,False,1,False,3.4375,1,2,1,0,3.82619531
Client Meeting,Medium,Senior,Other,Critical,11,4,3,22,10,16,True,2,False,4.0625,1,1,2,0,3.79978807
Testing,High,Senior,JavaScript,Critical,10,5,2,20,10,18,True,3,False,2.55,2,3,0,0,4.5133725
Client Meeting,High,Tech Lead,Other,Low,1,5,2,2,3,17,False,2,False,3.9,1,2,2,0,0.8983392
Client Meeting,Low,Tech Lead,Python,Critical,10,4,3,20,3,10,False,3,False,3.5,2,1,0,1,3.24917812
Refactoring,Low,Mid,C++,High,7,3,3,14,1,12,False,1,False,4.75,0,2,0,1,2.26393313
Documentation,Low,Tech Lead,Other,High,10,2,3,20,9,9,False,2,True,2.375,1,1,0,0,4.12860938
Code Review,High,Senior,JavaScript,Medium,9,2,1,18,8,17,False,3,False,2.375,1,1,0,0,4.5039375
Design Review,High,Junior,Go,High,6,3,1,12,7,18,False,3,False,3.5,1,1,1,0,2.59215525
Code Review,High,Junior,C++,High,7,5,2,14,6,9,True,1,False,3.05,2,2,1,0,3.14406367
Code Review,High,Senior,C++,Medium,1,4,3,2,5,14,False,1,False,2.375,2,2,0,0,0.9910625
Client Meeting,Medium,Tech Lead,Other,Medium,6,3,0,12,4,17,False,2,False,3.5,1,1,1,0,2.33285
Design Review,High,Mid,JavaScript,High,6,2,2,12,1,12,False,2,False,3.625,1,0,1,0,2.61474413
Deployment,Medium,Junior,Other,Medium,2,5,3,4,2,13,True,0,False,3.6,3,0,1,1,1.1109
Bug Fix,Low,Junior,JavaScript,Medium,10,3,3,20,10,18,True,1,False,2.08333333,2,1,0,0,4.33934375
Code Review,Medium,Tech Lead,JavaScript,Critical,2,2,3,4,1,15,True,2,False,3.25,0,2,0,0,1.21324219
Bug Fix,High,Senior,Go,High,6,3,0,12,6,16,True,1,False,2.66666667,1,2,0,0,2.61261
Refactoring,Medium,Junior,C++,Medium,11,5,1,22,1,18,True,3,False,3.55,2,1,2,0,4.41596138
Refactoring,Medium,Senior,Java,Critical,5,4,3,10,6,9,False,3,False,2.8125,1,3,0,0,2.24253906
Documentation,High,Senior,Python,High,8,4,1,16,1,11,True,1,False,4.0625,1,1,2,0,3.13100767
Refactoring,Low,Tech Lead,JavaScript,Critical,2,4,2,4,1,15,True,3,False,3.0625,3,0,0,1,1.05973777
Refactoring,Medium,Senior,Python,Critical,12,4,1,24,2,11,False,0,False,3.875,0,3,1,0,3.69865547
Bug Fix,High,Senior,Java,Medium,10,3,3,20,9,14,True,1,True,2.66666667,1,2,0,0,5.749975
Documentation,High,Senior,Other,Critical,5,4,2,10,1,11,True,1,False,4.5625,1,1,1,1,1.93292072
Refactoring,High,Tech Lead,Go,Low,8,4,0,16,8,17,False,3,False,3.9375,1,2,0,1,3.75618719
Client Meeting,Medium,Senior,Other,Medium,11,2,3,22,4,11,False,1,False,2.375,1,1,0,0,4.8571875
Testing,Low,Mid,Go,High,2,2,3,4,3,13,False,3,True,3.25,0,2,0,0,1.36434375
Bug Fix,Medium,Mid,Python,High,11,2,3,22,10,17,False,2,False,2.375,1,1,0,0,4.45978125
Refactoring,High,Junior,C++,High,10,3,1,20,10,13,True,3,True,2.91666667,2,0,1,0,4.85860784
Feature Dev,High,Junior,JavaScript,High,7,2,2,14,3,15,True,2,False,4.5,0,1,1,0,2.98369575
Testing,High,Tech Lead,Go,Medium,1,5,0,2,6,14,True,2,False,4.8,1,1,2,1,0.5304222
Deployment,Medium,Senior,JavaScript,Critical,12,5,0,24,10,18,True,2,False,3.95,2,1,1,1,3.70521375
Documentation,Low,Tech Lead,Python,Critical,5,4,0,10,5,11,False,3,True,3.9375,1,2,0,1,1.68462164
Documentation,High,Tech Lead,Other,High,11,4,1,22,6,11,False,1,True,2.375,2,2,0,0,5.15833313
Client Meeting,High,Junior,JavaScript,Low,6,3,0,12,10,13,False,3,False,2.91666667,2,0,1,0,3.11537325
Refactoring,High,Tech Lead,Python,Medium,9,2,0,18,2,12,False,3,True,2.375,1,1,0,0,4.792425
Deployment,Low,Senior,Go,High,5,2,2,10,7,9,True,1,True,2.375,1,1,0,0,2.24402063
Deployment,High,Senior,JavaScript,Low,12,3,3,24,5,14,False,0,True,3.58333333,2,0,0,1,6.31923256
Documentation,Medium,Mid,Other,Low,5,2,2,10,10,10,False,3,True,3.625,1,0,1,0,2.80367588
Deployment,Low,Tech Lead,Python,High,11,4,1,22,2,10,True,0,False,1.9375,3,1,0,0,3.89608734
Code Review,Medium,Tech Lead,C++,Critical,2,5,2,4,10,16,False,2,True,4.3,1,2,1,1,0.9896601
Bug Fix,Medium,Senior,Java,Low,9,3,2,18,8,14,False,2,False,3.5,1,1,1,0,4.0465975
Code Review,Medium,Mid,Go,High,3,3,1,6,8,9,False,2,False,4.91666667,0,1,2,0,1.12006875
Client Meeting,High,Senior,Python,High,9,5,2,18,4,9,False,0,True,3.9,1,2,2,0,3.73933692
Client Meeting,Medium,Mid,C++,Medium,11,3,2,22,9,10,True,3,False,4.75,0,2,0,1,4.30171875
Bug Fix,Low,Tech Lead,Java,High,10,5,0,20,9,15,False,3,False,2.55,2,3,0,0,3.413475
Refactoring,High,Tech Lead,Java,Low,11,5,2,22,4,17,True,1,False,3.05,2,2,1,0,5.79596267
Client Meeting,Low,Junior,Java,Low,11,3,1,22,3,13,True,1,False,2.08333333,2,1,0,0,4.84228938
Feature Dev,High,Junior,Other,Low,12,3,0,24,7,9,False,2,True,3.5,1,1,1,0,6.2100467
Testing,Medium,Mid,Java,High,3,5,1,6,7,14,False,0,False,2.75,4,0,0,1,1.11096563
Testing,Medium,Tech Lead,JavaScript,High,1,2,1,2,5,12,False,2,True,5.75,0,0,2,0,0.5932575
Design Review,High,Junior,Go,High,6,4,0,12,9,12,False,0,False,3.625,2,0,2,0,2.1452445
Design Review,Medium,Mid,Python,High,13,5,2,26,3,13,False,1,True,2.2,3,2,0,0,5.48856
Code Review,Medium,Tech Lead,Python,Medium,6,4,1,12,1,17,True,2,False,3.4375,1,2,1,0,2.59956211
Documentation,Medium,Mid,Other,Critical,4,5,0,8,3,18,False,1,True,3.1,3,1,0,1,1.42697362
Testing,Low,Junior,Go,High,13,4,2,26,9,17,False,1,False,2.375,2,2,0,0,4.486275
Feature Dev,High,Senior,Python,Low,2,2,3,4,1,17,False,1,True,3.625,1,0,1,0,1.58515521
Design Review,High,Tech Lead,Other,Medium,6,5,3,12,9,18,False,3,False,3.8,1,3,0,1,3.034395
Code Review,High,Tech Lead,Python,Critical,13,2,3,26,1,15,False,1,True,1.5,2,0,0,0,6.25818875
Bug Fix,High,Mid,JavaScript,Low,11,5,0,22,6,14,False,1,False,3.55,2,1,2,0,4.9219434
Deployment,Medium,Senior,C++,High,7,5,0,14,7,11,False,0,False,2.55,2,3,0,0,2.4507
Client Meeting,High,Mid,Java,Low,1,2,3,2,10,9,True,2,True,3.625,1,0,1,0,1.25680163
Testing,Medium,Senior,Python,Critical,13,2,0,26,4,10,False,0,True,3.25,0,2,0,0,4.558125
Documentation,High,Tech Lead,JavaScript,Low,8,4,1,16,10,12,False,2,True,3.4375,1,2,1,0,4.39004146
Testing,Low,Junior,JavaScript,High,10,5,3,20,7,10,False,3,True,1.85,4,1,0,0,4.33879875
Testing,Low,Mid,Go,High,2,2,3,4,1,10,False,1,False,1.5,2,0,0,0,1.171575
